界,系,统,组,岩性,厚度,描述,备注,接触关系,压缩
新生界,第四系,全新统,,粘土,3.5,黄褐色粘土，可塑，含植物根系及少量铁锰质结核,,角度不整合,
古生界,二叠系,上统,石盒子组,砂岩,8.0,灰白色中粗粒长石石英砂岩，分选中等，大型板状交错层理发育,,,
古生界,二叠系,下统,山西组,泥岩,5.0,灰黑色泥岩，块状构造，含植物茎叶化石碎片,含植物化石,,
古生界,二叠系,下统,山西组,砂岩,2.0,灰白色细粒砂岩，夹泥质条带，波状层理发育,,,
古生界,石炭系,上统,太原组,煤,0.3,黑色块状烟煤，玻璃光泽，贝壳状断口，条带状结构，内生裂隙发育，含黄铁矿结核,主要可采煤层、区域对比标志层,,
古生界,石炭系,上统,太原组,页岩,4.5,深灰色页岩，水平层理发育，页理清晰，夹薄层菱铁矿结核,,,
古生界,石炭系,中统,本溪组,石灰岩,10.0,深灰色厚层生物碎屑灰岩，含蜓类及腕足类化石，局部方解石脉发育,含蜓类化石,平行不整合,
古生界,泥盆系,中统,,白云岩,7.0,浅灰色中厚层细晶白云岩，刀砍纹发育，具残余鲕粒结构,,,
古生界,志留系,下统,,粉砂岩,6.0,黄绿色薄层粉砂岩，波痕及虫迹构造发育，夹泥质条带,,,
古生界,奥陶系,中统,马家沟组,石灰岩,80.0,灰色厚层微晶灰岩，单调巨厚，含头足类化石，缝合线构造发育，压缩显示,主要含水层,,是
古生界,寒武系,下统,,砾岩,4.0,紫红色底砾岩，砾石成分以石英岩为主，磨圆较好，钙质胶结,底砾岩,,
